ID,tod,tot,level,vo2_L,vo2_mlkgmin,vco2_L,rq,ve_stpd,ve_btps,vt_L,rr,pef,veo2,veco2,Ti_sec,Te_sec,Ttot_sec,Ti_Ttot,vt_Ti,speed,grade,hr,o2pulse,peto2,petco2,fio2,feo2,fico2,feco2,tod_1,tod_2,tod_3,epoch
19,12:37:39,1.200:00:00,E,0.101,1.2,0.153,1.51,6.4,7.7,0.369,21,0.39,76,50,1.04,1.71,2.89,36,0.36,0,0,83,1.2,117.9,33.8,20.92,19.16,0.13,2.54, , , ,0
19,12:37:57,1.600:00:19,E,0.11,1.3,0.133,1.21,5.9,7.1,0.325,22,0.51,64,53,9.94,1.46,2.76,360,0.03,3,2,77,1.4,116,34.5,20.94,18.98,0,2.27,19,19,1.9,1
19,12:38:04,1.600:00:25,E,0.533,6.4,0.523,0.98,15.1,18.2,0.812,22,0.76,34,35,2.52,1.54,2.68,94,0.32,3,2,83,6.4,110.5,37.4,20.94,17.42,0,3.46,6,25,2.5,2
19,12:38:13,1.800:00:35,E,0.445,5.4,0.394,0.89,13.5,16.3,0.474,34,1.12,37,41,5.11,1.07,1.74,293,0.09,3.1,2,100,4.5,110.6,37.5,20.94,17.74,0,2.91,10,35,3.5,3
19,12:38:18,1.900:00:39,E,0.384,4.6,0.355,0.92,10.9,13.2,0.672,20,0.56,34,37,1.18,1.88,3.06,38,0.57,3.1,2,100,3.8,110.1,36.6,20.94,17.48,0.08,3.32,4,39,3.9,3
19,12:38:20,1.900:00:41,E,0.972,11.7,0.826,0.85,23.6,28.4,1.117,25,1.12,29,34,0.91,1.45,2.36,39,1.22,3.1,2,105,9.3,107.2,38,20.91,16.92,0.11,3.61,2,41,4.1,4
19,12:38:23,2.000:00:44,E,0.846,10.2,0.782,0.92,21.4,25.8,1.382,19,1.29,31,33,1.3,1.9,3.21,41,1.06,3.1,2,105,8.1,110.2,36.7,20.93,17.04,0.08,3.73,3,44,4.4,4
19,12:38:26,2.000:00:47,E,0.841,10.1,0.782,0.93,21.8,26.3,1.509,17,1.36,31,34,1.3,2.14,3.45,38,1.16,3.1,2,112,7.5,110.6,36.8,20.93,17.13,0.08,3.67,3,47,4.7,4
19,12:38:31,2.100:00:52,E,0.272,3.3,0.246,0.91,8.4,10.1,0.726,14,1.1,37,41,2.23,2.06,4.3,52,0.33,3.2,2,114,2.4,106.2,38.5,20.92,17.75,0.08,3.02,5,52,5.2,5
19,12:38:33,2.100:00:54,E,0.244,2.9,0.218,0.9,7.9,9.6,0.456,21,0.68,39,44,1.19,1.59,2.86,42,0.38,3.2,2,114,2.1,105.6,37.4,20.94,17.94,0.09,2.84,2,54,5.4,5
19,12:38:38,2.200:00:59,E,0.107,1.3,0.227,2.12,6,7.2,0.507,14,0.98,67,32,1.94,1.86,4.22,46,0.26,3.2,2,114,0.9,101.2,39.5,20.92,18.71,0.08,3.87,5,59,5.9,5
19,12:38:41,2.300:01:02,E,0.331,4,0.381,1.15,10.9,13.2,0.51,26,1.06,40,35,1.06,0.96,2.33,45,0.48,3.2,2.5,112,3,105,36.6,20.91,17.78,0.08,3.57,3,62,6.2,6
19,12:38:47,2.400:01:08,E,0.606,7.3,0.416,0.69,12.3,14.9,0.481,31,1.17,25,36,2.63,1.23,1.94,135,0.18,3.2,2.5,109,5.6,96.3,39.6,20.92,16.32,0,3.38,6,68,6.8,6
19,12:38:55,2.500:01:16,E,0.299,3.6,0.288,0.96,6.1,7.4,0.851,9,1.18,25,26,4.3,1.71,6.91,62,0.2,3.3,2.5,111,2.7,95,41,20.93,16.08,0,4.69,8,76,7.6,7
19,12:39:00,2.600:01:21,E,0.92,11.1,0.867,0.94,17.3,20.9,1.431,15,1.51,23,24,1.9,1.52,4.11,46,0.75,3.3,2.5,111,8.3,94.2,42.2,20.94,15.69,0.07,5.08,5,81,8.1,8
19,12:39:01,2.600:01:22,E,1.23,14.8,0.839,0.68,21.4,25.8,0.912,28,1.2,21,31,0.78,1.34,2.12,37,1.17,3.3,2.5,113,10.9,97.5,40.4,20.91,15.55,0.14,4.06,1,82,8.2,8
19,12:39:04,2.600:01:25,E,1.479,17.8,1.098,0.74,28.2,34,1.186,29,1.36,23,31,0.78,1.31,2.1,37,1.51,3.3,2.5,113,13.1,98.5,39.9,20.89,15.93,0.15,4.05,3,85,8.5,8
19,12:39:06,2.700:01:27,E,1.385,16.6,1.05,0.76,28.3,34.1,1.17,29,1.48,25,33,0.86,1.19,2.06,42,1.35,3.4,2.5,114,12.1,100.5,38.2,20.93,16.28,0.1,3.81,2,87,8.7,8
19,12:39:09,2.700:01:30,E,1.655,19.9,1.289,0.78,33.1,39.9,1.485,27,1.62,24,31,0.9,1.33,2.23,41,1.64,3.4,2.5,114,14.5,102.1,37.9,20.94,16.17,0.08,3.97,3,90,9,9
19,12:39:12,2.800:01:33,E,0.824,9.9,0.757,0.92,16.1,19.4,1.358,14,1.73,24,26,2.23,1.15,4.21,53,0.61,3.4,2.5,115,7.2,103.7,39,20.93,15.89,0.07,4.78,3,93,9.3,9
19,12:39:15,2.800:01:36,E,1.234,14.8,1.026,0.83,26,31.4,1.024,31,1.28,25,31,0.82,1.14,1.96,42,1.26,3.4,2.5,115,10.7,103,39,20.95,16.37,0.08,4.02,3,96,9.6,9
19,12:39:17,2.900:01:38,E,1.013,12.2,0.877,0.87,18.6,22.4,1.104,20,1.57,22,26,1.61,0.99,2.95,54,0.69,3.4,2.5,120,8.4,100.7,41,20.94,15.65,0.08,4.79,2,98,9.8,9
19,12:39:19,2.900:01:40,E,1.525,18.3,1.159,0.76,29,35,1.157,30,1.77,23,30,0.88,1.1,1.98,44,1.31,3.4,2.5,120,12.7,101.3,39.6,20.93,15.94,0.07,4.07,2,100,10,10
19,12:39:22,3.000:01:43,E,1.283,15.4,1.039,0.81,25.7,31,1.282,24,1.54,24,30,0.89,1.59,2.48,36,1.44,3.4,2.5,121,10.6,100.8,40,20.94,16.15,0.07,4.11,3,103,10.3,10
19,12:39:22,3.000:01:43,E,0.255,3.1,0.22,0.86,15,18.1,0.384,47,1.34,71,82,0.88,0.39,1.27,69,0.44,3.4,2.5,121,2.1,123.2,21.4,20.93,19.28,0.08,1.54,0,103,10.3,10
19,12:39:25,3.000:01:46,E,0.826,9.9,0.843,1.02,19.1,23,0.954,24,1.65,28,27,0.74,1.59,2.49,30,1.28,3.5,3,122,6.8,99.7,41.2,20.92,16.58,0.08,4.49,3,106,10.6,10
19,12:39:29,3.100:01:50,E,0.382,4.6,0.284,0.74,7.7,9.3,0.539,17,1.59,24,33,1.38,2.1,3.49,40,0.39,3.5,3,122,3.1,96.6,42.4,20.95,16.25,0.04,3.74,4,110,11,11
